# Ground truth DOI list for radar scoring verification.
# Source: Claude deep-research report on FEA-based virtual experimentation for
#         personalized femoral stem (cementless THA), 2026-05-19.
# Filtered to DOI in 2015-2025 publication range (radar backfill scope).
# Author priority encoding:
#   must_read  -> radar should ideally rate High or Medium
#   useful     -> radar should ideally rate Medium or Low
#   peripheral -> radar Low or Exclude is acceptable
# Pre-2015 classics (Huiskes 1987, Weinans 1992, Bergmann 2001) excluded:
#   they predate radar backfill window 2015-01..2026-04 and would always be absent.
# Columns (tab-separated): doi  author_priority  topic_zh
10.1016/j.clinbiomech.2008.11.003	must_read	直接应力遮挡
10.1016/j.clinbiomech.2009.03.009	must_read	初始稳定性
10.1016/j.clinbiomech.2011.08.004	must_read	初始稳定性
10.1080/10255842.2015.1006209	must_read	FEA方法
10.1371/journal.pone.0155612	must_read	真实载荷
10.1016/j.jbiomech.2004.05.022	must_read	真实载荷
10.1115/1.4041208	must_read	多孔梯度柄
10.1016/j.jmbbm.2017.10.019	must_read	FEA方法
10.1186/s13018-020-01927-9	must_read	FEA方法
10.3390/jcm12093138	must_read	直接应力遮挡
10.1186/s13018-022-03492-9	must_read	综述
10.3389/fbioe.2021.772539	must_read	综述
10.1002/jor.70079	must_read	初始稳定性
10.1038/s41598-024-61305-x	must_read	FEA方法
10.1002/cnm.70049	must_read	形状多目标优化
10.3390/app15073522	must_read	代理模型
10.1186/s13018-025-06389-5	must_read	患者特异多孔柄
10.1016/j.jmbbm.2024.106864	must_read	TPMS+骨改建
10.3390/app14083200	must_read	综述
10.1016/j.medengphy.2016.08.008	useful	改建刺激比较
10.1038/s41598-018-36503-z	useful	直接应力遮挡
10.1186/s13018-020-02027-4	useful	直接应力遮挡
10.1186/s13018-022-03329-5	useful	初始稳定性
10.1002/jor.25808	useful	初始稳定性
10.1016/j.jbiomech.2004.05.023	useful	初始稳定性载荷
10.1007/s42235-018-0057-1	useful	多孔梯度柄
10.1007/s10856-020-06420-7	useful	可制造多孔柄
10.1016/j.jot.2022.11.001	useful	新型晶格
10.3390/ma16083151	useful	多尺度拓扑优化
10.1038/s44455-025-00003-8	useful	功能梯度TPMS
10.1007/s10237-024-01903-w	useful	降阶模型
10.1016/j.xnsj.2025.100598	useful	物理信息代理
10.1093/jcde/qwad072	useful	综述
10.1016/j.cad.2022.103225	peripheral	RL设计探索
10.1016/j.engappai.2025.112273	peripheral	RL设计探索
